,index,all_backshifts,number_sensors_shifted
1094,1094,407.6,228.0
1095,1095,403.4,221.2
1096,1096,397.0,223.6
1097,1097,406.0,234.8
1098,1098,383.2,220.6
1099,1099,412.4,235.0
1100,1100,366.4,216.4
1101,1101,377.2,213.0
1102,1102,420.4,230.6
1103,1103,408.4,231.4
1104,1104,401.4,219.4
1105,1105,413.2,232.6
1106,1106,404.4,239.2
1107,1107,389.2,224.2
1108,1108,409.8,230.8
1109,1109,396.2,228.2
1110,1110,377.8,222.8
1111,1111,406.0,225.8
1112,1112,389.0,219.6
1113,1113,415.0,233.8
1114,1114,406.4,229.6
1115,1115,385.8,224.4
1116,1116,416.6,238.2
1117,1117,409.0,236.4
1118,1118,440.4,251.0
1119,1119,420.0,230.4
1120,1120,406.4,231.2
1121,1121,409.0,230.8
1122,1122,434.0,238.6
1123,1123,415.0,233.8
1124,1124,422.4,235.0
1125,1125,405.8,225.6
1126,1126,408.0,239.0
1127,1127,412.2,237.6
1128,1128,403.2,232.8
1129,1129,411.8,243.4
1130,1130,420.4,235.8
1131,1131,424.2,241.0
